link,title
https://post.craigslist.org/c/nyc?lang=en,post
https://accounts.craigslist.org,account
#, favorites
//www.craigslist.org/about/sites,CL
/,new york
../bks,owner
../bkd,dealer
#list,list
#pic,thumb
#grid,gallery
#map,map
/bka/index100.html, next > 
/search/bka/?sort=priceasc,$
/search/bka/?sort=pricedsc,$
/que/bks/4513611392.html,
/que/bks/4513611392.html,books Books BOOKS
/bks/,books & magazines - by owner
/brk/bks/4513569939.html,
/brk/bks/4513569939.html,"Baking, cooking and drinking books"
/bks/,books & magazines - by owner
/brx/bks/4513601270.html,
/brx/bks/4513601270.html,OVER 7000 Adult & Childrens Books*#@% 50-80%OFF
/bks/,books & magazines - by owner
/brk/bks/4513599246.html,
/brk/bks/4513599246.html,The Case of the Bigamous Spouse by Erle Stanley Gardner
/bks/,books & magazines - by owner
/mnh/bks/4492920235.html,
/mnh/bks/4492920235.html,"Six GREAT Books, Jefferson, Newman, Didion, Fielding, Fitzgerald"
/bks/,books & magazines - by owner
/mnh/bks/4492284550.html,
/mnh/bks/4492284550.html,"FIRST EDITION 1971 ""Sexual Behavior"" Magazine"
/bks/,books & magazines - by owner
/que/bks/4513594676.html,
/que/bks/4513594676.html,NANCY DREW
/bks/,books & magazines - by owner
/que/bkd/4513591839.html,
/que/bkd/4513591839.html,HARDY BOYS
/bkd/,books & magazines - by dealer
/que/bks/4513588889.html,
/que/bks/4513588889.html,TOM SWIFT
/bks/,books & magazines - by owner
/brk/bks/4513548334.html,
/brk/bks/4513548334.html,Life: Century of Change:  America in Pictures 1900-2000
/bks/,books & magazines - by owner
/brk/bks/4513526718.html,
/brk/bks/4513526718.html,Books by John Sanford (Hardcover) 
/bks/,books & magazines - by owner
/brk/bks/4513558450.html,
/brk/bks/4513558450.html,"Tips & Traps When Buying A Condo, Co-op, or Townhouse by Robert Irwin"
/bks/,books & magazines - by owner
/mnh/bks/4513555613.html,
/mnh/bks/4513555613.html,Harry Potter full set of books - British editions
/bks/,books & magazines - by owner
/brk/bks/4513554021.html,
/brk/bks/4513554021.html,Directed by VINCENTE MINNELLI by Stephen Harvey
/bks/,books & magazines - by owner
/brk/bks/4513530550.html,
/brk/bks/4513530550.html,Books by Mary Higgins Clark
/bks/,books & magazines - by owner
/que/bks/4510203766.html,
/que/bks/4510203766.html,The Illustrated Encyclopedia of Commercial Aircraft
/bks/,books & magazines - by owner
/que/bks/4501362827.html,
/que/bks/4501362827.html,Microbiology
/bks/,books & magazines - by owner
/que/bks/4501364238.html,
/que/bks/4501364238.html,Nutrition 2nd Edition.
/bks/,books & magazines - by owner
/que/bks/4502383484.html,
/que/bks/4502383484.html,Microbiology
/bks/,books & magazines - by owner
/brk/bks/4513504387.html,
/brk/bks/4513504387.html,Popular Fiction - hardcover  books
/bks/,books & magazines - by owner
/brk/bks/4513540053.html,
/brk/bks/4513540053.html,America Through the Lens by Martin W. Sandler (Hardcover)
/bks/,books & magazines - by owner
/brk/bks/4513536201.html,
/brk/bks/4513536201.html,"New Business, Finance, Economics Books from the Economist"
/bks/,books & magazines - by owner
/brk/bks/4513533275.html,
/brk/bks/4513533275.html,"Assorted new books: Business, Managenent"
/bks/,books & magazines - by owner
/que/bks/4513516410.html,
/que/bks/4513516410.html,Several books and Textbooks for sale
/bks/,books & magazines - by owner
/brk/bks/4510169941.html,
/brk/bks/4510169941.html,BOOKS!!! BOOKS!!! 97 of them...new
/bks/,books & magazines - by owner
/brk/bks/4513529499.html,
/brk/bks/4513529499.html,Apartment Sale SATURDAY JUNE 14TH 10:00am to 2:00pm
/bks/,books & magazines - by owner
/brk/bks/4513528084.html,
/brk/bks/4513528084.html,Curious George Collection
/bks/,books & magazines - by owner
/wch/bks/4513523637.html,
/wch/bks/4513523637.html,Jeep Cherokee Factory Service Manual
/bks/,books & magazines - by owner
/brx/bks/4513522674.html,
/brx/bks/4513522674.html,Books for sale
